Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C10,C12,C13,C15,C16,C2,C6,C9",C_0603,C14663,9
100Ω,"R13,R14,R15,R16",R_0402,C25076,4
10kΩ,"R1,R11,R19,R21,R25,R5,R7,R9",R_0402,C25744,8
10uF,"C11,C14,C3,C4,C5",C_0603,C19702,5
15kΩ,"R20,R22,R6,R8",R_0402,C25756,4
20kΩ,R17,R_0402,C25765,1
330Ω,"R12,R27",R_0402,C25104,2
8.2kΩ,R18,R_0402,C25924,1
AMS1117,U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,1
M24C64,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C79988,1
SN74CB3Q3245PWR,U1,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,C470961,1
HX711,U5,SOP-16_3.9x9.9mm_P1.27mm,,1
Conn_01x04_Pin,J8,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
Debug_USART_TX,J4,PinSocket_1x01_P2.54mm_Vertical,,1
Chainbus Out,J2,PinSocket_2x16_P2.54mm_Vertical_SMD,,1
~,H8,Hole_Tooling_JLCPCB,,1
Conn_01x04_Pin,J3,PinHeader_1x04_P2.54mm_Vertical,,1
MMBT3906,Q1,SOT-23,,1
~,H7,Hole_Tooling_JLCPCB,,1
Conn_01x04_Pin,J11,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
Conn_01x04_Pin,J10,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
Conn_01x04_Pin,J9,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
Program,J7,PinHeader_1x03_P2.54mm_Vertical,,1
LED,,LED_0603_1608Metric,,0
Conn_01x04_Pin,J5,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
Conn_01x04_Pin,J6,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
~,H9,Hole_Tooling_JLCPCB,,1
LED,,LED_0603_1608Metric,,0
CH32V003FxPx,U4,TSSOP-20_4.4x6.5mm_P0.65mm,,1
Chainbus in,J1,PinHeader_2x16_P2.54mm_Vertical_SMD,,1
