Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603,147.9,-107.6,90.0,top
C10,100nF,C_0603,161.5,-125.5,90.0,top
C11,10uF,C_0603,148.2,-120.7,-90.0,top
C12,100nF,C_0603,149.9,-120.7,-90.0,top
C13,100nF,C_0603,150.78,-124.1,180.0,top
C14,10uF,C_0603,151.4,-115.5,180.0,top
C15,100nF,C_0603,151.4,-117.1,180.0,top
C16,100nF,C_0603,159.9,-115.1,90.0,top
C2,100nF,C_0603,161.45,-103.45,-90.0,top
C3,10uF,C_0603,105.1,-104.4,0.0,top
C4,10uF,C_0603,107.3,-109.0,-90.0,top
C5,10uF,C_0603,105.8,-109.0,-90.0,top
C6,100nF,C_0603,119.7,-116.075,180.0,top
C9,100nF,C_0603,151.6,-126.6,90.0,top
D1,LED,LED_0603_1608Metric,175.35,-101.4,90.0,top
D2,LED,LED_0603_1608Metric,119.4,-109.7,-90.0,top
G***,LOGO,QR,106.25,-117.55,0.0,bottom
H1,M2.5 Mount,MountingHole_2.7mm_M2.5_DIN965_Pad_TopOnly,82.0,-92.0,0.0,top
H2,M2.5 mount,MountingHole_2.7mm_M2.5,174.0,-134.0,0.0,top
H3,M2.5 mount,MountingHole_2.7mm_M2.5,82.0,-134.0,0.0,top
H4,M2.5 mount,MountingHole_2.7mm_M2.5,174.0,-92.0,0.0,top
H5,M2.5 mount,MountingHole_2.7mm_M2.5,103.0,-94.0,0.0,top
H6,M2.5 mount,MountingHole_2.7mm_M2.5,153.0,-94.0,0.0,top
H7,~,Hole_Tooling_JLCPCB,79.0,-137.0,0.0,top
H8,~,Hole_Tooling_JLCPCB,169.7,-90.3,0.0,top
H9,~,Hole_Tooling_JLCPCB,86.0,-91.0,0.0,top
J1,Chainbus in,PinHeader_2x16_P2.54mm_Vertical_SMD,127.99,-95.538272,270.0,bottom
J10,Conn_01x04_Pin,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,134.825,-132.2425,0.0,top
J11,Conn_01x04_Pin,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,121.175,-131.9125,0.0,top
J2,Chainbus Out,PinSocket_2x16_P2.54mm_Vertical_SMD,128.0,-95.558272,90.0,top
J3,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,154.98,-100.0,90.0,top
J4,Debug_USART_TX,PinSocket_1x01_P2.54mm_Vertical,123.8,-108.125,0.0,top
J5,Conn_01x04_Pin,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,93.0,-132.455,0.0,top
J6,Conn_01x04_Pin,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,107.0,-132.2925,0.0,top
J7,Program,PinHeader_1x03_P2.54mm_Vertical,133.64,-107.525,-90.0,top
J8,Conn_01x04_Pin,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,149.0,-132.555,0.0,top
J9,Conn_01x04_Pin,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,163.0,-132.555,0.0,top
Q1,MMBT3906,SOT-23,145.25,-118.4375,-90.0,top
R1,10kΩ,R_0402,153.6,-103.0,0.0,top
R11,10kΩ,R_0402,120.3,-112.875,0.0,top
R12,330Ω,R_0402,120.0,-111.925,180.0,top
R13,100Ω,R_0402,149.6,-127.42,180.0,top
R14,100Ω,R_0402,149.6,-125.82,180.0,top
R15,100Ω,R_0402,163.2,-126.4,0.0,top
R16,100Ω,R_0402,163.4,-124.6,0.0,top
R17,20kΩ,R_0402,151.7,-120.4,-90.0,top
R18,8.2kΩ,R_0402,151.7,-122.4,-90.0,top
R19,10kΩ,R_0402,136.125,-128.2875,-90.0,top
R20,15kΩ,R_0402,136.625,-126.7875,180.0,top
R21,10kΩ,R_0402,122.475,-127.9575,-90.0,top
R22,15kΩ,R_0402,122.975,-126.4575,180.0,top
R25,10kΩ,R_0402,157.2,-96.1,90.0,top
R27,330Ω,R_0402,173.7,-101.2,90.0,top
R5,10kΩ,R_0402,94.3,-128.5,-90.0,top
R6,15kΩ,R_0402,94.8,-127.0,180.0,top
R7,10kΩ,R_0402,108.3,-128.3375,-90.0,top
R8,15kΩ,R_0402,108.8,-126.8375,180.0,top
R9,10kΩ,R_0402,156.7,-97.5,180.0,top
U1,SN74CB3Q3245PWR,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,143.93,-105.57,180.0,top
U2,M24C64,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,166.0,-100.75,90.0,top
U3,AMS1117,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,100.025,-108.0,0.0,top
U4,CH32V003FxPx,TSSOP-20_4.4x6.5mm_P0.65mm,125.3375,-113.8,0.0,top
U5,HX711,SOP-16_3.9x9.9mm_P1.27mm,156.7,-121.695,0.0,top
